,real_chord,predicted_chord,inp_len
205,Emin,Emin,81
206,F,F,78
207,D,E,30
208,G,G,30
209,B,A,36
210,Fs,Gsmin,78
211,Cmin,Cmin,39
212,G,G,16
213,Fsmin,Csmin,18
214,C,C,8
215,E,Emin,6
216,Amin,Amin,6
217,E,E,17
218,G,G,17
219,F,Amin,28
220,Ds/D,Ds/D,23
221,G,D,17
222,Emin,A,34
223,A,A,13
224,C,G,53
225,G,G,7
226,D,A,53
227,F,F,9
228,A,D,38
229,Gsmin,Gsmin,38
230,D,G,78
231,D,D,78
232,Dmin/A,Dmin,25
233,Gmin,As,78
234,F,Dmin,47
235,G,Amin,13
236,Amin,C,64
237,E,E,27
238,Ab,Ab,28
239,A,A,21
240,A,A,40
241,A,D,32
242,C,G,8
243,C,C,40
244,G,G,43
245,G,G,28
246,Amin,Amin,27
247,Bbmin,Bbmin,8
248,Emin,C,10
249,C,C,14
250,A,A,15
251,E,E,92
252,Amin,Amin,15
253,Amin,Amin,6
254,E,As,12
255,Bb,Bb,110
256,G7/C,G7,13
257,Amaj7,Asus2,39
258,Emin,D,6
259,A7,G,71
260,Gs,Gs,5
261,Cmin,Gmin,11
262,Fsmin,A,9
263,G,D,56
264,Dsmin,B,9
265,Emin,Dmin9,6
266,Dmin,Dmin,6
267,A,A,18
268,Emin,Emin,56
269,F,F,44
270,A,A,11
271,C,C,7
272,D,Amin,53
273,F,F,78
274,B,Amin,44
275,Amin,Amin/D,103
276,D,D,21
277,B,B,5
278,F,Amin,17
279,G,G,71
280,G,G/Fs,13
281,Fs,Fs,44
282,D,D,4
283,C,C,28
284,D,D,21
285,B,B,17
286,F,C,24
287,F,F,59
288,D,Emin,43
289,G,G,13
290,Amin,Bb,38
291,Bmin,Bmin,50
292,B7,A,7
293,C,C,31
294,G,G,4
295,G,G,20
296,A,A,71
297,G,C,56
298,Fsmin,Fsmin,28
299,D,D,35
300,Gsmin,A,11
301,Gmin,Gmin,49
302,Amin,Amin,14
303,Amin,G,41
304,F,F,9
305,B7,B7,9
306,D7,D7,23
307,G,G,53
308,Amin,Amin,8
309,G,G,24
310,G,D,29
311,Eb,Eb,65
312,E,Dmin,23
313,Bmin,Bmin,66
314,D,D,10
315,Dmin7,Fmaj7,11
316,Bmin,Bmin,85
317,B7,D,15
318,F,A,31
319,B,B,14
320,Emin,Emin,14
321,A,A,28
322,C,C,76
323,F,F,34
324,Amin,F,41
325,Db,Bbmin,78
326,C,D7,21
327,Dmin,Dmin,18
328,C,C,5
329,B,B,32
330,Eb,Eb,16
331,G,G,11
332,G,G,18
333,D,D,13
334,F,F,32
335,E,Emin,33
336,G,G,46
337,D,D,56
338,A,A,22
339,F,Bb,77
340,D,A,21
341,D,D,18
342,F,F,10
343,G,G,39
344,Bb,Bb,98
345,F,F,6
346,Csmin,E,20
347,Amin,Amin,38
348,Bmin,Bmin,33
349,A,A,45
350,Amin,Amin,18
351,A,Fsmin,63
352,G,G,94
353,Amin,Amin,6
354,D/Fs,D/Fs,53
355,Db,Db,50
356,Fsmin,D,43
357,D7,D7,9
358,D/Fs,D/Fs,15
359,Amin,Amin,16
360,Emin,Emin,65
361,Asus2,G,19
362,Fmin,Fmin,86
363,Gmin,Gmin,24
364,G,G,12
365,C,C,61
366,Bb,Bb,56
367,G,G,15
368,Gsmin,Gsmin,45
369,F,F,65
370,D,D,14
371,Amin,Amin,18
372,C,C,40
373,C,F,6
374,Cs,Cs,32
375,A,A,18
376,C,C,5
377,Emin,Emin,86
378,A,A,46
379,G,G,5
380,Bb,Fmin,111
381,Amin,Dmin,9
382,D,Emin,28
383,E,A,65
384,Cmin7,Dmin7,89
385,G,F,6
386,Amin,Amin,16
387,A,G,32
388,F,F,85
389,B,B,55
390,Amin,Amin,8
391,C,G,36
392,C,Bb,54
393,D,D,11
394,G,G,56
395,A,A,4
396,G,G,58
397,Gmin,Ds,15
398,F9,C,35
399,Dminadd13/F,C/B,26
400,C,C,51
401,A,A,11
402,F,F,41
403,Amin,Amin,7
404,D,Emin,17
405,G,G7,37
406,E,E,86
407,Emin,Emin,43
408,Fsmin,E,29
409,E,E,8
410,F,F,49
411,Csmin7,Csmin7,9
412,B,B,7
413,Amin,Emin,14
414,C,C,40
415,Dno3d,Gno3d,117
416,C,D/Fs,88
417,D,G,32
418,F,F,78
419,Emin,Emin,25
420,Bbmin,G,24
421,Faug,Dmaj7,33
422,A,A,41
423,Ab,Ab,69
424,Amin,Amin,15
425,C,C,124
426,Eb,Eb,32
427,E,A,4
428,C,C,12
429,Amin,G,53
430,F,F,84
431,E,E,65
432,A,A,11
433,Eb/Bb,Eb/Bb,7
434,Amin,Amin,45
435,C,Gmin,50
436,F,Bb,62
437,G,G,41
438,A,A,11
439,A,A,53
440,Bmin,Bmin,11
441,Bb,Bb,28
442,Bb,Emin,41
443,G,G,20
444,Amin,C,72
445,G,G/Fs,51
446,D,D,75
447,Eb,Eb,15
448,Dsus2,Dsus2,53
449,D,A,7
450,C,C,49
451,Eb,Eb,50
452,G,G,84
453,F,Bb,24
454,C,C,27
455,Fsmin,Fsmin,24
456,D,D,27
457,Emin,Emin,25
458,Bb,Bb,11
459,C,C,18
460,F,F,21
461,Fsmin,Bmin,33
462,B,B,19
463,Dsus4,Dsus4,4
464,A,A,73
465,Amin,Amin,12
466,Amin,Emin,19
467,D7,B7,88
468,Csdim/G,G/D,23
469,C,C,27
470,B,B,108
471,Emin,Emin,72
472,A,A,6
473,C,F,26
474,D,D,49
475,Gadd13,Dmin9,77
476,Gadd13,Gadd13,9
477,Emin,D,67
478,D,D,9
479,G,G,61
480,Bmin,Bmin,37
481,G7sus4,G7sus4,16
482,C,C,59
483,G,G,22
484,B,Fsmin,94
485,C,Amin,6
486,C,C,14
487,F,F,29
488,Cmin,Cmin,4
489,Emin,Emin,11
490,Gsmin,B,20
491,Cmin,Cmin,10
492,C,C,7
493,Dmin,Dmin,11
494,B7,Fsmin,5
495,A,A/Cs,31
496,C,C,21
497,Fsmin,Fsmin,41
498,Cs,D,63
499,A,A,18
500,Bb,Bb,59
501,C,A,5
502,Cmaj7,Cmaj7,13
503,G,C/G,63
504,Eno3d,Bno3d,23
505,Fmin,Fmin,28
506,G,A,9
507,G,G,28
508,F7,F7,22
509,Emin,Emin,9
510,F,G,115
511,C,C,19
512,C,C,102
513,D,Fsmin,45
514,G,D/,55
515,Ds,As,98
516,B,B,96
517,Emin,Emin,42
518,Emin,Emin,14
519,F7,G,41
520,B,E,23
521,D7,G,28
522,F,Dmin7,64
523,Cmaj7,Cmaj7,51
524,F,Bb,116
525,Bb,Bb,39
526,F,F,37
527,Fs,Fs,43
528,Gmin,Gmin,45
529,F,F,75
530,Emin,Amin,16
531,Bb,Bb,83
532,Esus4,A,25
533,D,D,50
534,A7,A7,19
535,Dmin,Dmin,11
536,Fsmin,Fsmin,9
537,B,B,16
538,C,G,17
539,C,D,5
540,B,B,37
541,F,F,5
542,A,A,16
543,G,G,37
544,Emin,G,18
545,Bmin,Bmin,17
546,C,C,24
547,G,G,69
548,G,G,44
549,C,Amin,19
550,B,E,43
551,Gsmin,Csmin,55
552,C,C,4
553,As,As,59
554,Fsmin,D,30
555,G,D/Fs,62
556,C,G,10
557,D,D,7
558,D,Cadd9,45
559,Amin,Amin,13
560,G,G,12
561,Cs,Cs,59
562,Emin,Emin,23
563,Bb,Bb,42
564,B,Emaj7,47
565,C,C,22
566,G,G,27
567,G,G,80
568,Csmin,Asus2,4
569,G,C,105
570,Amin,Amin,25
571,A,A,57
572,G,C,92
573,D,D,14
574,Emin,E,11
575,F,F/A,30
576,G,G,50
577,C,C/D,56
578,Gsmin,Dsmin,46
579,G,G,5
580,C7,Fmin,64
581,F,F,25
582,Amin,Amin,24
583,E,E,14
584,Gsmin,Fs,43
585,A,A,13
586,Ds,Ds,44
587,G,G,8
588,Ab,Ab,51
589,D,G,53
590,F,F,28
591,Gsmin,Gsmin,36
592,Gmin,Gmin,47
593,Emin,Emin,52
594,Ab,Ab,50
595,G,C,70
596,Emin,Emin,6
597,A,Fsmin,43
598,E,E,30
599,Dmin,C,23
600,F,Emin,15
601,G7,E7,27
602,G,G,72
603,F,F,26
604,D,D,31
605,F,C,69
606,E,B,6
607,Fmin,Fmin,10
608,E,E,35
609,A7,D,45
610,D,E,22
611,Amin,Amin,16
612,G,Dmin,5
613,B,B,48
614,Amin,Amin,54
615,C,C,47
616,B,B,17
617,F,F,48
618,Bbmin,B,53
619,C,C,16
620,Emin,Emin,6
621,F,Dmin,5
622,G,G,8
623,Fmin,G,31
624,G,Amin,5
625,Gs,B7,15
626,Fs,Fs,5
627,E,E,25
628,Emin/G,Emin/G,37
629,Dmin,Dmin,20
630,Fs,A,8
631,Ds,Ds,42
632,Fsmin,D,42
633,F,Bb,39
634,B7,B7,40
635,C/E,F,33
636,Amin,Amin,44
637,Amin,Amin,57
638,B,Bmin,19
639,C,C,28
640,Csmin,Esus2,19
641,C,C,13
642,Dsus4,Dsus4,75
643,Dmin,A,30
644,A,A,9
645,D,C,79
646,Eb,Eb,28
647,Emin,D,6
648,Ab,Ab,11
649,Fs,Fs,13
650,G,D,22
651,A,A,5
652,A7,F,59
653,D,Fsmin,36
654,Bmin,Bmin,22
655,Fsmin,Fsmin,55
656,A,A,51
657,D,D,6
658,F,F,83
659,Emin,Emin,10
660,Bmin7,Bmin7,4
661,D,Eb,19
662,D,Dmin,27
663,Emin,G/B,55
664,F,E,29
665,Cmin,Cmin,23
666,A,G,27
667,Eb,Eb,101
668,Fmaj7sus2,Amin7,48
669,Dmin,Gmin,39
670,Eb,Eb,26
671,Bmin,Bmin,43
672,G,G,47
673,C,G,53
674,G,G,45
675,C,C,32
676,F,F,48
677,Fmin,Fmin,5
678,D,C,35
679,Amin,Amin,5
680,C,C,21
681,Emin7,Emin7,54
682,Emin,A,89
683,G,G,4
684,Csmin,A,16
685,Fmin9,F7,32
686,B,B,5
687,G,F,22
688,B,B,115
689,D,D,7
690,D,D,18
691,G,A,63
692,Emin,Emin,28
693,Amin,Amin,81
694,Fsmin,G,64
695,Dmin,Dmin,69
696,G,Bmin,16
697,A,A,99
698,Cmin,Cmin,24
699,Abmaj7,Cmin7,11
700,D,D,22
701,C,C,5
702,Emin,Emin,17
703,C,C,33
704,Fs,A,39
705,G,G,54
706,D,Fs,9
707,Gs,Ds7,7
708,D,D/Fs,106
709,Asus4,F,34
710,D,A,82
711,G,Emin,48
712,G,G,34
713,Bmin,Bmin,24
714,G,G,32
715,B,B,104
716,A,Cs7,23
717,Fsno3d,Csno3d,9
718,Gmin,Bb/D,43
719,Fsmin,Fsmin,73
720,C,C,24
721,A,A,15
722,G,G,19
723,Ab,Db,48
724,A,A,73
725,F,F,5
726,A,A,30
727,Fmin7,Ab/B,114
728,Gsmin,Gsmin,36
729,A,Bmin,31
730,Emin,Bb,45
731,Emin,Emin,65
732,A,A,62
733,C,Emin,16
734,Cmin7,D,119
735,As,Amin,75
736,D,Bmin,4
737,A,A,16
738,C,C,4
739,Amin,Emin,95
740,Bb,Gmin,7
741,G,G,52
742,E,E,75
743,Amin,Amin,36
744,A,A,20
745,Emin,A,6
746,A,A,56
747,C,C,34
748,Bmin,D,52
749,E,E,37
750,Bmin,D,9
751,Gno3d,Ano3d,7
752,F,F,116
753,G,G,60
754,Bmin,Bmin,52
755,Bb,F,43
756,Cmin,A,73
757,Bmin,Bmin,52
758,A,A,15
759,D,D,7
760,D,D,8
761,C,C,28
762,Gmin,Dmin,18
763,As,As,12
764,B,B,10
765,C,C,51
766,D,C,32
767,G,G,28
768,B7,B7,10
769,Emin,Emin,45
770,A,A,31
771,Fno3d,Fsmin,103
772,D,G/B,72
773,F,F,65
774,A,D7,56
775,C,C,46
776,E7,E7,36
777,A,A,27
778,Amin,C,80
779,G,G,20
780,D,D,111
781,Amin,F,120
782,C,C,9
783,Gmin,Gmin,74
784,D,G,10
785,Gmaj7/B,Gmaj7,19
786,Bmin,Fsmin,28
787,Fs,Fs,43
788,F,F,73
789,Ebno3d,Bbno3d,120
790,G,G,25
791,F,F,33
792,E,Csmin,100
793,C/E,Bb,37
794,C,C,23
795,Gmin,A,74
796,C,C,4
797,D7,D7,23
798,Dsus2,Dsus2,37
799,C,C,94
800,F,C,4
801,Eb,Fmin,25
802,Amin,Amin,33
803,A,A,20
804,F,F,9
805,Cs,Cs,18
806,B,B,38
807,Gs,Gs,22
808,G,G,25
809,Emin,Emin,24
810,G,D7,4
811,G,G,42
812,A,A,25
813,C,C,15
814,Cs,Dmin,73
815,G,G,56
816,Emin,Emin,38
817,Fmin,Fmin,35
818,C,C,38
819,C,G,24
820,C,C,25
821,Emin,D,9
822,D,D,62
823,F,C,45
824,Bb,Dmin,54
825,A,A7,39
826,E,E,19
827,G,G,59
828,Eb,Eb,23
829,A,A,51
830,D,D,33
831,Emin7,Bmin7,7
832,Emin,C,5
833,D,D,49
834,Fs,E,7
835,Amin,Amin,37
836,Eb/D,Cmin,10
837,E,E7,72
838,Asmin,Asmin,15
839,F,G,108
840,Amin,C,10
841,G,G,29
842,C,C,10
843,D,D7,42
844,C,Emin,72
845,C,C,18
846,Amin,Amin,12
847,G,E,59
848,Cs,Cs,5
849,Fs7,Fs7,8
850,A,A,34
851,C,D,66
852,F,F,4
853,D,D,95
854,E,Csmin,54
855,G,G,31
856,F,Dmin,46
857,Dmin,Dmin,32
858,Amin,Amin,50
859,G7,F,7
860,Csno3d,Bno3d,29
861,D,D,73
862,Dmin7,Amin/E,72
863,D,A,23
864,Csmin,Csmin7,25
865,G,G,48
866,G,G,36
867,F,Dmin,73
868,Gmin7,C,7
869,Amin,C,107
870,D,E,48
871,C,C,13
872,G,G,30
873,Bmin7,D/Fs,14
874,Bb,C13/Cs,13
875,D,D,7
876,F,E,63
877,A,G,42
878,Fmin,Cmin,16
879,A,A,14
880,D,D,23
881,C,G,42
882,F,D,16
883,Bb,C,24
884,Gmin,Gmin,63
885,G,G,23
886,Dno3d,Ano3d,40
887,F,F,37
888,Bb,Bb,10
889,A,A,43
890,E,E,10
891,D,D,37
892,Amin,Amin,123
893,F,F,72
894,Gmin,Gmin,27
895,C,G,46
896,C,C,22
897,Bbno3d,Gno3d,4
898,C,C,24
899,G,G,31
900,Csmin,Csmin,50
901,D,D,45
902,C,C,33
903,A,D,26
904,D,C,61
905,Emin,Emin,5
906,A,A,30
907,Dmin,Dmin,11
908,C,C,20
909,Fsmin7,Fsmin7,81
910,C7,G7,7
911,A,D/Cs,20
912,F,F,114
913,Amin,Amin,43
914,B,B,8
915,C,C,23
916,F,Fmaj7,10
917,C,C,28
918,D,G,73
919,C,G,11
920,E,E,32
921,Csmin,Bmin,16
922,G,E,113
923,Emin,D,5
924,D,D,10
925,Emin,Emin,32
926,Bbmin,Amin,4
927,Cadd9,Cadd9,25
928,D,D,36
929,Dmin,Dmin,18
930,F,F,43
931,Gsmin,Gsmin,41
932,As,Cmin,8
933,Dmin,Dmin,20
934,B,B,9
935,Emin,D,27
936,A,A,118
937,G,G,6
938,D,D,77
939,A,A,97
940,F,G,9
941,A,A,47
942,D,Emin7,16
943,Fsmin,D,18
944,A,D,96
945,G,G,22
946,A,A,17
947,D,Bmin,12
948,Emin,Cadd9,38
949,G,G,38
950,G,Amin,25
951,F,F,13
952,Cmin7,G,24
953,G,G,11
954,G,G,4
955,C,G,39
956,Amin,Amin,86
957,D,D,44
958,G,G,38
959,F,Dmin,20
960,Amin,Amin,111
961,D,D,4
962,Fadd9,Fadd9,59
963,C,D,42
964,G,Dsus2,62
965,Emin11,A13/A,4
966,G,G,31
967,C,C,96
968,B,E,19
969,D,G,29
970,Bmin,E,28
971,D,E,27
972,E,E,9
973,E,E,104
974,Amaj7,Fsmin11,42
975,G,G,30
976,C,C,27
977,Dmin,Emin,7
978,C,D/Fs,17
979,G,G,70
980,Csno3d,E,58
981,E,E,4
982,B,B/,11
983,G,G,21
984,A,A,16
985,D,D,46
986,D,G,54
987,G,G,12
988,C,C,51
989,Cadd9,D,7
990,B,B,30
991,F,F,4
992,G,Emin,10
993,F,F,31
994,Gmin,Cmin,47
995,Eadd9,Gsmin,69
996,G,G,23
997,F,F,4
998,Emin/D,Bmin,64
999,G,G,8
1000,E,Amin,55
1001,As,As,4
1002,G,Dmin,6
1003,F,F,41
1004,A,A,39
1005,G,G,30
1006,F,F,53
1007,E,E,17
1008,Dmin,Dmin,22
1009,Emin,Emin,4
1010,A,A,12
1011,F,F,4
1012,D,D,29
1013,G,G/D,80
1014,C,C,62
1015,D,D,14
1016,D,D,42
1017,Fs,Fs,112
1018,G,F,65
1019,B/A,E/Gs,59
1020,Amin,Amin,43
1021,Asmin,B,14
1022,B,B7,93
1023,Emin,G,31
1024,B,E/C,47
1025,A,D,25
1026,Gsmin,Gsmin,90
1027,A,D,11
1028,Amin,Amin,19
1029,D,D,10
1030,B,E,65
1031,G,G,44
1032,D,Gsmin,61
1033,Bb,Bb,103
1034,Bmin,Bmin,13
1035,D,D,11
1036,Bb,Bb,14
1037,F,F,71
1038,Gsmin,Gsmin,28
1039,B7,E/A,24
1040,A,A,21
1041,B,Fsmin,16
1042,E,D/A,79
1043,C,C,81
1044,D,D,15
1045,F,F,51
1046,G,G,68
1047,Fs,Fs,74
1048,A,A,30
1049,E,Bmin7,75
1050,Emin,Emin,76
1051,A,A,34
1052,C,C,49
1053,B,B,7
1054,Emin,G,24
1055,Amin7/G,D/Fs,45
1056,Amin,Amin,19
1057,C,C,20
1058,Fsmin,Fsmin,54
1059,G,G,13
1060,Bmin7,Bmin7sus4,44
1061,Gmin,Cmin,12
1062,Csno3d,Bno3d,19
1063,G,G,37
1064,E,E,12
1065,Emin,Emin,23
1066,F,F,26
1067,A,A,7
1068,C,C,91
1069,G,C,33
1070,D,D,42
1071,G,G,12
1072,A,A,33
1073,G,G/Fs,67
1074,G,G,29
1075,Amin,G,41
1076,Cno3d,Gno3d,32
1077,D,D,10
1078,A,D,26
1079,A7,G,53
1080,G,D,8
1081,D,D,7
1082,A,A,22
1083,D,D,15
1084,Gsus4,Emin,39
1085,C,C,25
1086,A,A,21
1087,D,G,88
1088,Emin,D,56
1089,A,A,31
1090,G,G,24
1091,A,A,83
1092,Emin,Emin,29
1093,Dmin,C,30
1094,C/G,C/G,42
1095,F,Gmin,39
1096,G,C,33
1097,G,G,17
1098,Csmin,Csmin,17
1099,E,Gsmin,20
1100,Dmin,Dmin,77
1101,Amin,C,4
1102,D,D,47
1103,G,G,32
1104,Bmin,Bmin,13
1105,F,F,11
1106,G,G,18
1107,Amin,C,15
1108,Bbmin,Bbmin,61
1109,C/G,C/G,19
1110,Fsmin,Fsmin,5
1111,F,Bb,47
1112,G,C,80
1113,Fs,Fs,5
1114,Fadd13,F,8
1115,G,G,87
1116,Cmaj7,Cmaj7,4
1117,D,D,41
1118,Amin,C,16
1119,G,G,12
1120,Amin,Amin,6
1121,C,F,77
1122,C7,C7,94
1123,Cs,Ds,59
1124,B,Fs,41
1125,G,G,13
1126,F,F,44
1127,Bb,Bb,4
1128,C,C,39
1129,C,C,15
1130,F,F,20
1131,C,G7,9
1132,C,D,7
1133,D,D,6
1134,G,G,86
1135,A,G,7
1136,G,D,117
1137,G,G,7
1138,Amin,Amin,9
1139,C,C,26
1140,D,A,6
1141,G,G,54
1142,G,Bmin,61
1143,E,E,127
1144,C,D,47
1145,Amin,Amin,62
1146,D,Bmin,80
1147,G,G,15
1148,E,E,5
1149,Bb,Bb,11
1150,Gmin,Gmin,50
1151,C,C,80
1152,Dmin,Dmin,10
1153,D,D,13
1154,C,C,30
1155,F,F,40
1156,D/A,D/A,62
1157,Ds,Ds,24
1158,G,G,39
1159,Ab,Bb,52
1160,D,E,60
1161,C,F,66
1162,G,G,63
1163,D,D,23
1164,G,G,6
1165,Bb,Bb,30
1166,E,D,27
1167,Gsmin,Fsmin,19
1168,B,Dsmin,47
1169,C,C,28
1170,B,B,57
1171,F,F,11
1172,C,C,57
1173,F,Dmin,12
1174,Asus4,Fsmin,31
1175,Cs,Cs,28
1176,Amin,Amin,5
1177,D,D,40
1178,G,D7,32
1179,E/Bb,E/,67
1180,G,G,28
1181,Gsmin,Gsmin,24
1182,Gsus2,Emin7,13
1183,C,C,50
1184,G,Bmin,4
1185,G,G,29
1186,Dno3d,Dmin,32
1187,D,G,13
1188,C,C,57
1189,E,E,31
1190,G,G,24
1191,C,C,7
1192,D,D,11
1193,E,E,6
1194,A,A,44
1195,Gmin,Gmin,12
1196,C,C,10
1197,E,Amin,11
1198,D,A,67
1199,B,A,17
1200,C,C,6
1201,D,D,88
1202,C,C,32
1203,D,D,118
1204,F,F,52
1205,F,Amin7,39
1206,D,D,15
1207,G,G,7
1208,Fmaj7,F,23
1209,Csmin,E,23
1210,Amin7,Amin7,55
1211,C7,C7,11
1212,D,D,115
1213,A,A,68
1214,D7,Emin/B,9
1215,F,Dmin,9
1216,D,D,39
1217,D,D,22
1218,C,C,15
1219,Bb,Bb7,97
1220,Fsmin,Fsmin,4
1221,G/B,G,32
1222,C,G,36
1223,D,C,43
1224,G,G,11
1225,C,C,13
1226,D,D,34
1227,Csmin,Fs,56
1228,G,Bmin,15
1229,D,D,37
1230,F,F,116
1231,D,D,54
1232,Cs,Cs/A,13
1233,Amaj7,A7,4
1234,Cs,Cs,35
1235,Emin,Emin,39
1236,Emin7,G7,48
1237,C,C,27
1238,A7,A7sus4,21
1239,D,D,33
1240,G/A,A,22
1241,A,A,44
1242,D,D,18
1243,A,Bb,24
1244,Emin,Amin,6
1245,A,Dbmin,23
1246,G,G,8
1247,Emin,C,68
1248,D,D,7
1249,G,D,20
1250,E,E,5
1251,A,Csmin,15
1252,E,E,39
1253,Bmin,E,27
1254,A,A,44
1255,Cs,B,36
1256,A,A,63
1257,Fsmin,Gsmin,9
1258,F,F,22
1259,C,C,73
1260,Fsmin11,Asus2,82
1261,F,F,9
1262,D,D,25
1263,G,G,61
1264,F,F,24
1265,Dmin,G,10
1266,Gs,C,112
1267,C,C,17
1268,C,C,12
1269,Amin,Amin,119
1270,Amin,Amin,28
1271,Eb,Eb,17
1272,Amin7,Amin7,8
1273,F,F,25
1274,A,B,54
1275,G,F/E,46
1276,A,A,68
1277,F,F,21
1278,A,A,116
1279,Fmaj7,D,77
1280,F,Fmin,12
1281,G,G,42
1282,C,C,11
1283,Amin,F,29
1284,F,F,20
1285,E,B,34
1286,E,E,63
1287,Amin,Amin,46
1288,Eb,Eb,85
1289,D,D,44
1290,G,G,57
1291,Fs,Fs,83
1292,G,G,30
1293,Emin,G,43
1294,A,A,47
1295,C,C7/E,59
1296,D,D,48
1297,Fmin,G/B,39
1298,Fs,Fs,125
1299,Amin,A,84
1300,Dmin,D,41
1301,Csmin,Csmin,22
1302,Amin,Amin,35
1303,C,C,55
1304,G,G,93
1305,B,B,11
1306,Emin,Emin,46
1307,Fsmin,Fsmin,35
1308,Eno3d,Bno3d,18
1309,G,G,44
1310,A,Emin7,12
1311,D,D,37
1312,C,C,23
1313,C,C,42
1314,C,C,17
1315,F,F,58
1316,A,A,13
1317,F,F,61
1318,C,G,35
1319,G,F,21
1320,A,E,25
1321,Dmin7,Dmin7,50
1322,F,Bb,43
1323,C,C,14
1324,Amin,Amin,14
1325,G,Amin,91
1326,C,C,48
1327,G,G,5
1328,Csmin,Csmin,93
1329,F7,C,32
1330,F,C,73
1331,A,D,22
1332,D,B,28
1333,Bmin,D,38
1334,E,E,17
1335,E,E,13
1336,Gsmin,E,28
1337,G,G,7
1338,Gs,Ab,71
1339,Ds,Ds,46
1340,Amin,Amin,17
1341,E,E,32
1342,A,A,59
1343,G,G,12
